	observed_otus	chao1	shannon	faith_pd
Sample1	44	44.0	3.1857629624475314	4.706132566
Sample10	37	37.0	4.028593678286654	10.02657069
Sample11	46	46.0	4.379900159364705	7.460251979
Sample12	43	43.0	3.9761228146869962	8.642142007
Sample13	51	51.0	4.880342770673631	13.241766592
Sample14	23	23.0	3.438398237645398	5.096545622
Sample15	21	21.0	3.1447725907269866	4.568158387
Sample16	28	28.0	3.3579172155668897	5.644220934
Sample17	29	29.0	3.6841687374293666	6.18832753
Sample18	26	26.0	3.3645585879759845	5.318436216
Sample19	61	61.0	3.82733412803764	6.5877933104999995
Sample2	69	69.0	4.18614952466869	5.778770749000001
Sample20	82	82.0	4.486406973287316	7.6220538079999995
Sample21	80	80.0	4.703452100834929	7.742021770999999
Sample22	72	72.0	4.6005492922941	6.452580765499999
Sample23	44	44.0	3.754357626401599	7.714160481
Sample24	56	56.0	4.481595214376047	15.249124877
Sample25	48	48.0	4.317600992052551	8.461031676
Sample26	123	123.0	5.90277801163962	13.727775551
Sample27	29	29.0	3.531331705107899	4.123877549
Sample28	217	217.0	6.05231860544961	37.668266684
Sample29	152	152.0	5.206011749207919	28.247814953000002
Sample3	56	56.0	3.5782085378459634	5.5726424654999995
Sample30	140	140.0	5.421068103137522	14.389044917
Sample31	23	23.0	3.3186266745993116	4.972404548
Sample32	46	46.0	3.033075983931147	7.7032469930000005
Sample33	43	43.0	3.4271903753877404	7.142537610000001
Sample34	51	51.0	4.267839436647734	7.327026355999999
Sample4	62	62.0	3.8634534659667117	6.8941637445
Sample5	105	105.0	5.022844193509052	20.101495656
Sample6	102	102.0	4.936291664509579	17.040238930999998
Sample7	85	85.0	4.062717019370862	18.802155709
Sample8	132	132.0	6.237141623905597	25.881462151
Sample9	20	20.0	2.880681996826171	3.431715498
